idh,idp,y,x,top,bot,cec,oc,w_hue,w_value,w_chroma,d_hue,d_value,d_chroma,bsat
726,441,-34.1,-61.05,0,16,25.7,2.18,10YR,3,1,NA,NA,NA,77.8210116731518
727,441,-34.1,-61.05,16,23,20.6,1.29,10YR,2,2,NA,NA,NA,85.4368932038835
728,441,-34.1,-61.05,23,34,19.7,0.75,10YR,3,3,NA,NA,NA,86.8020304568528
734,442,-34.0956,-61.13927,0,14,NA,NA,10YR,2,1,10YR,3,1,NA
735,442,-34.0956,-61.13927,14,25,NA,NA,10YR,2,2,10YR,3,1,NA
740,443,-34.09102,-61.07809,0,19,NA,NA,10YR,3,1,NA,NA,NA,NA
741,443,-34.09102,-61.07809,19,31,NA,NA,10YR,3,1,NA,NA,NA,NA
747,444,-34.05465,-61.08041,0,22,21.9,0.79,10YR,3,1,NA,NA,NA,100
748,444,-34.05465,-61.08041,22,50,27,0.2,7.5YR,5,4,NA,NA,NA,100
749,445,-34.02149,-61.04509,0,12,18.6,1.69,10YR,2,2,NA,NA,NA,74.7311827956989
750,445,-34.02149,-61.04509,12,31,17.3,1.5,10YR,3,1,NA,NA,NA,80.9248554913295
757,446,-34.07491,-61.09534,0,15,17.1,1.04,10YR,2,2,NA,NA,NA,100
758,446,-34.07491,-61.09534,15,24,17.1,1.04,10YR,2,2,NA,NA,NA,100
761,446,-34.07491,-61.09534,24,40,32.7,0.46,7.5YR,4,2,NA,NA,NA,100
763,447,-34.15194,-61.14231,0,14,22.1,2.05,10YR,2,2,NA,NA,NA,80.9954751131222
764,447,-34.15194,-61.14231,14,28,20.6,1.28,10YR,2,2,NA,NA,NA,79.6116504854369
770,448,-34.02996,-61.19783,0,14,24.9,2.84,10YR,2,2,NA,NA,NA,93.1726907630522
771,448,-34.02996,-61.19783,14,29,21.4,1.71,10YR,3,1,NA,NA,NA,87.8504672897196
777,449,-34.31647,-61.31073,0,19,12.1,0.4,10YR,3,3,10YR,4.5,3,93.3884297520661
778,449,-34.31647,-61.31073,19,88,12.1,0.17,10YR,4,4,NA,NA,NA,95.8677685950413
786,451,-34.29914,-61.40128,0,17,20.6,1.81,10YR,2,2,10YR,4,1.5,82.5242718446602
787,451,-34.29914,-61.40128,17,28,18.6,1.23,10YR,3,2,NA,NA,NA,90.3225806451613
791,452,-34.23633,-61.38766,0,15,13,0.64,10YR,4,2,NA,NA,NA,100
792,452,-34.23633,-61.38766,15,20,19.1,0.57,10YR,3,2,NA,NA,NA,100
793,452,-34.23633,-61.38766,20,30,16,0.52,NA,NA,NA,NA,NA,NA,100
804,455,-34.24719,-61.36266,0,16,22.1,2.33,10YR,3,1,10YR,4,2,81.9004524886878
805,455,-34.24719,-61.36266,16,32,22,1.45,10YR,3,1,NA,NA,NA,84.5454545454546
810,456,-34.25178,-61.35186,0,18,20.4,1.78,10YR,3,4,10YR,4,2,83.3333333333333
811,456,-34.25178,-61.35186,18,29,17.8,0.79,10YR,3,1,NA,NA,NA,82.0224719101124
816,457,-34.24198,-60.78858,0,19,20.6,1.92,10YR,2,2,10YR,4,3,88.8349514563107
817,457,-34.24198,-60.78858,19,28,16.5,0.64,10YR,3,4,10YR,3,4,87.2727272727273
820,458,-34.24879,-61.47905,0,19,17.6,1.71,10YR,3,1,NA,NA,NA,96.0227272727273
821,458,-34.24879,-61.47905,19,34,17.8,1.4,10YR,2,2,NA,NA,NA,100
830,459,-34.24835,-61.47152,0,13,20.3,1.96,10YR,2,2,NA,NA,NA,96.0591133004926
831,459,-34.24835,-61.47152,13,30,21.5,1.68,10YR,2,2,NA,NA,NA,93.953488372093
838,461,-34.28689,-61.29303,0,19,26,2.47,10YR,3,1,NA,NA,NA,70.3846153846154
839,461,-34.28689,-61.29303,19,33,23.4,1.66,10YR,2,1,NA,NA,NA,79.9145299145299
843,462,-34.33063,-61.17907,0,18,16.3,1.72,10YR,3,1,NA,NA,NA,84.0490797546012
844,462,-34.33063,-61.17907,18,50,17.9,1.62,10YR,2.5,1,NA,NA,NA,85.4748603351955
848,463,-34.28856,-61.16774,0,13,18,1.83,10YR,2,2,NA,NA,NA,91.1111111111111
849,463,-34.28856,-61.16774,13,28,17,1.62,10YR,2,2,NA,NA,NA,87.6470588235294
853,464,-34.2643,-61.11689,0,15,17.3,1.95,10YR,3,1,NA,NA,NA,80.9248554913295
854,464,-34.2643,-61.11689,15,23,17.9,1.76,10YR,3,1,NA,NA,NA,78.7709497206704
