idh,idp,y,x,top,bot,cec,oc,w_hue,w_value,w_chroma,d_hue,d_value,d_chroma,bsat
1437,552,-34.04322,-60.21465,15,26,14.3,0.32,10YR,4,1,10YR,7,1,100
1451,553,-34.18296,-59.96796,0,12,21.4,2.95,10YR,3,2,10YR,5,2,100
1452,553,-34.18296,-59.96796,12,17,18.8,1.71,10YR,3,1,10YR,5,1,100
1453,553,-34.18296,-59.96796,17,39,28,0.89,7.5YR,4,2,7.5YR,5,2,100
1442,554,-34.18576,-59.97409,0,15,23.3,1.75,10YR,3,1,10YR,5,2,95.2789699570815
1443,554,-34.18576,-59.97409,15,27,24.2,1.55,10YR,3,1,10YR,4,1,96.6942148760331
1458,555,-34.25209,-59.62083,0,22,23,2.44,10YR,2,2,10YR,4,2,82.1739130434782
1459,555,-34.25209,-59.62083,22,36,20.6,0.7,10YR,3,3,10YR,4,2,75.2427184466019
1480,556,-34.2183,-59.73152,0,18,23,2.39,10YR,2,2,10YR,4,2,82.6086956521739
1481,556,-34.2183,-59.73152,18,26,21.5,1.88,10YR,2,1,NA,NA,NA,84.6511627906977
1473,558,-34.29606,-59.57531,0,15,27.1,2.5,10YR,3,2,10YR,4,2,93.7269372693727
1474,558,-34.29606,-59.57531,15,23,27.2,1.65,7.5YR,3,2,10YR,4,2,92.6470588235294
1475,558,-34.29606,-59.57531,23,61,37.4,0.85,10YR,3,3,10YR,4,2,86.6310160427808
1487,560,-34.29166,-59.65554,0,15,19.2,1.95,10YR,3,2,10YR,5,2,91.1458333333333
1488,560,-34.29166,-59.65554,15,23,19.5,1.7,10YR,2.5,2,10YR,3,3,83.0769230769231
1489,560,-34.29166,-59.65554,23,30,21.1,1.17,7.5YR,3,2,NA,NA,NA,93.8388625592417
1494,561,-34.31377,-59.60724,0,12,23.3,1.96,10YR,3,2.5,10YR,4.5,2,94.8497854077253
1495,561,-34.31377,-59.60724,12,43,28.9,1.2,10YR,3,2,10YR,4,2,93.4256055363322
1500,562,-34.27048,-59.61907,0,15,20.6,1.58,10YR,2,2,10YR,3,2,98.5436893203883
1501,562,-34.27048,-59.61907,15,41,21.1,0.5,10YR,3,2,NA,NA,NA,92.8909952606635
1506,563,-34.05896,-59.70776,0,16,20.6,1.93,10YR,3,2,NA,NA,NA,91.747572815534
1507,563,-34.05896,-59.70776,16,29,22.7,1.66,10YR,2,2,NA,NA,NA,92.511013215859
1518,565,-34.22031,-59.72796,0,14,32.1,2.54,10YR,2,2,10YR,4,2,80.0623052959502
1519,565,-34.22031,-59.72796,14,24,23.7,0.61,10YR,3,1,10YR,5,2,91.5611814345992
1520,565,-34.22031,-59.72796,24,64,46.3,0.55,10YR,3,2,10YR,4,2,84.0172786177106
1525,566,-34.06635,-59.71499,0,11,NA,NA,10YR,2,2,10YR,3,3,NA
1526,566,-34.06635,-59.71499,11,24,NA,NA,10YR,2,2,10YR,3,2,NA
1527,566,-34.06635,-59.71499,24,36,NA,NA,10YR,2.5,2,NA,NA,NA,NA
1541,568,-34.07833,-59.78472,0,18,22.8,2.02,10YR,2,2,10YR,4,2,83.3333333333333
1542,568,-34.07833,-59.78472,18,27,24.8,1.29,10YR,2,2,NA,NA,NA,86.6935483870968
1548,569,-34.11076,-59.42183,0,14,24.2,2.13,10YR,3,1,NA,NA,NA,83.0578512396694
1549,569,-34.11076,-59.42183,14,25,24.7,1.74,10YR,2,1,NA,NA,NA,84.2105263157895
1556,570,-34.13432,-59.46305,0,14,22.4,2.35,10YR,3,1,NA,NA,NA,85.2678571428572
1557,570,-34.13432,-59.46305,14,27,22.4,1.43,10YR,3,2,NA,NA,NA,83.4821428571429
1565,571,-34.03199,-59.39363,0,13,25.3,2.62,10YR,3,2,10YR,5,2,79.4466403162055
1566,571,-34.03199,-59.39363,13,29,26.8,1.76,10YR,2,2,10YR,4,2,78.3582089552239
1571,572,-34.01795,-59.47182,0,16,15.9,1.5,10YR,3,3,NA,NA,NA,81.7610062893082
1572,572,-34.01795,-59.47182,16,29,19.6,1.38,10YR,3,1,NA,NA,NA,76.0204081632653
1579,573,-34.07762,-59.25335,0,11,19.1,1.52,10YR,3,2,NA,NA,NA,84.2931937172775
1580,573,-34.07762,-59.25335,11,20,19.1,1.38,10YR,3,1.5,NA,NA,NA,83.2460732984293
1581,573,-34.07762,-59.25335,20,25,20.6,1.08,10YR,3,2,NA,NA,NA,81.5533980582524
1588,574,-34.08314,-59.3077,0,14,25.7,2.21,10YR,3,2,NA,NA,NA,76.6536964980545
1589,574,-34.08314,-59.3077,14,22,27,1.76,10YR,2,1,NA,NA,NA,81.4814814814815
1590,574,-34.08314,-59.3077,22,27,NA,NA,10YR,3,2.5,NA,NA,NA,NA
1596,575,-34.04984,-59.19423,0,18,18.2,1.13,10YR,3,2,10YR,5,1,87.3626373626374
1597,575,-34.04984,-59.19423,18,28,17.9,0.75,10YR,5,2,10YR,6,1,79.8882681564246
1602,576,-34.05253,-59.19287,0,10,18.9,1.62,10YR,3,2,NA,NA,NA,79.3650793650794
1603,576,-34.05253,-59.19287,10,21,19.4,1.55,10YR,3,1,NA,NA,NA,81.4432989690722
1604,576,-34.05253,-59.19287,21,31,19.2,1.26,10YR,3,2.5,NA,NA,NA,83.8541666666667
1606,576,-34.05253,-59.19287,22,66,16.9,0.67,7.5YR,3,2,NA,NA,NA,83.4319526627219
1611,577,-34.15193,-59.02102,0,12,20.4,2.48,10YR,3,2,NA,NA,NA,77.9411764705882
1612,577,-34.15193,-59.02102,12,25,20.1,1.61,10YR,3,1,NA,NA,NA,78.1094527363184
1620,578,-34.11686,-59.09024,0,15,18.5,1.69,10YR,3,2,NA,NA,NA,74.0540540540541
1621,578,-34.11686,-59.09024,15,30,19.6,1.23,10YR,3,3,NA,NA,NA,74.4897959183673
1629,579,-34.14277,-59.00461,0,29,20.2,0.95,10YR,4,3,10YR,5,3,100
1634,580,-34.01508,-59.18985,0,20,16.7,1.59,10YR,4,1.5,10YR,6,0,58.6826347305389
1635,580,-34.01508,-59.18985,20,30,11.9,0.45,10YR,4,1,10YR,6,1,86.5546218487395
1638,581,-34.30181,-59.33364,0,14,24.2,2.45,10YR,1,2,NA,NA,NA,82.2314049586777
1639,581,-34.30181,-59.33364,14,30,19.7,1.7,10YR,2,2,NA,NA,NA,88.3248730964467
1647,582,-34.27833,-59.38889,0,17,21,2.05,10YR,2,2,10YR,3,3,80.4761904761905
1648,582,-34.27833,-59.38889,17,30,21.4,1,10YR,2,2,10YR,4,2,87.3831775700935
1653,583,-34.22569,-59.42233,0,19,15.1,1.46,10YR,2,2,NA,NA,NA,80.794701986755
1654,583,-34.22569,-59.42233,19,33,18.6,1.14,10YR,2.5,1,NA,NA,NA,76.3440860215054
1679,587,-34.22161,-59.23119,0,14,25.5,2.37,10YR,2,2,NA,NA,NA,79.6078431372549
1680,587,-34.22161,-59.23119,14,27,21.9,1.56,10YR,2,2,NA,NA,NA,79.9086757990868
1694,589,-34.27061,-59.07797,0,17,25.1,2.7,10YR,2,2,NA,NA,NA,84.4621513944223
1695,589,-34.27061,-59.07797,17,29,25.6,2.24,10YR,2,2,NA,NA,NA,83.984375
1701,590,-34.24639,-59.11944,0,13,23.6,2.26,10YR,2,2,NA,NA,NA,83.0508474576271
1702,590,-34.24639,-59.11944,13,25,23.5,2.32,10YR,2,2,NA,NA,NA,82.1276595744681
1709,591,-34.29167,-59.13333,0,15,31.8,2.35,10YR,2,2,NA,NA,NA,82.3899371069182
1710,591,-34.29167,-59.13333,15,28,35,1.99,10YR,2,2,NA,NA,NA,93.7142857142857
1715,592,-34.46666,-61.03333,0,21,12.9,0.87,10YR,2,2,NA,NA,NA,75.968992248062
1716,592,-34.46666,-61.03333,21,35,14.4,0.71,10YR,3,2,NA,NA,NA,80.5555555555555
1721,593,-34.35878,-61.0346,0,16,18.4,1.86,10YR,3,2,NA,NA,NA,79.3478260869565
1722,593,-34.35878,-61.0346,16,35,17.5,1.79,10YR,2.5,2,NA,NA,NA,84.5714285714286
1726,594,-34.35167,-61.18889,0,24,18.6,2,10YR,3.5,2,NA,NA,NA,85.4838709677419
1727,594,-34.35167,-61.18889,24,45,16.8,0.93,10YR,2,2,NA,NA,NA,100
1731,595,-34.38816,-61.14837,0,26,10.1,1.66,10YR,3,3,10YR,5.5,2,100
1734,596,-34.35766,-61.03465,0,25,16.2,1.71,10YR,3,3,10YR,5,3,87.6543209876543
1738,597,-34.35311,-61.10739,0,14,14.6,1.65,10YR,3,2,10YR,5,2,89.7260273972603
1739,597,-34.35311,-61.10739,14,30,16,1.45,10YR,3,2,10YR,5,2,93.12499999999999
1743,598,-34.43265,-61.04382,0,15,18.7,1.27,10YR,3,2,10YR,4.5,2,75.4010695187166
1744,598,-34.43265,-61.04382,15,33,16.6,0.94,10YR,3,2,10YR,4.5,2,84.3373493975904
1748,599,-34.42771,-61.02014,0,15,29.8,3.18,10YR,2,2,10YR,5.5,1,79.5302013422819
1749,599,-34.42771,-61.02014,15,38,27.1,2.56,10YR,2,1,10YR,5,1.5,83.3948339483395
1781,607,-34.4361,-61.0919,0,33,14.2,0.97,10YR,3,2,10YR,5.5,2,83.8028169014085
1785,608,-34.41486,-61.08647,0,16,16.7,1.38,10YR,3,2,10YR,5,2,74.8502994011976
1786,608,-34.41486,-61.08647,16,38,18.3,1.12,10YR,2,2,10YR,5,1.5,79.7814207650273
1790,609,-34.41389,-61.08556,0,16,12.9,0.84,10YR,3,2,10YR,5,2,87.5968992248062
1791,609,-34.41389,-61.08556,16,38,13.1,0.69,10YR,2.5,2,10YR,4.5,2,72.5190839694656
1794,610,-34.53081,-61.01397,0,16,14.2,1.15,10YR,2,2,10YR,4.5,2,88.7323943661972
1795,610,-34.53081,-61.01397,16,30,14.8,1.03,10YR,3,2,10YR,4,2,91.8918918918919
1799,611,-34.52392,-61.0132,0,13,30,2.49,10YR,3,2,NA,NA,NA,82.6666666666667
1800,611,-34.52392,-61.0132,13,24,24.3,1.55,10YR,3,1,NA,NA,NA,84.7736625514403
1801,611,-34.52392,-61.0132,24,40,24.4,1.21,10YR,3,2.5,10YR,5,2,84.4262295081967
1806,612,-34.56324,-61.0114,0,23,10.5,0.71,10YR,3,2.5,10YR,4,2.5,74.2857142857143
1807,612,-34.56324,-61.0114,23,50,10.3,NA,10YR,3,3.5,10YR,5,3,92.2330097087379
1809,613,-34.56427,-61.01118,0,17,19.3,1.48,10YR,3,3,10YR,5,3,75.6476683937824
1810,613,-34.56427,-61.01118,17,39,18.8,1.24,10YR,3,2,10YR,4,2,81.9148936170213
1813,614,-34.56413,-61.01256,0,19,14.9,1.43,10YR,3,1.5,10YR,4.5,2,79.8657718120805
1814,614,-34.56413,-61.01256,19,27,16.9,1.18,10YR,2,1,10YR,4,2.5,77.5147928994083
1819,615,-34.58623,-61.0499,0,16,12.3,1.74,10YR,3,2,10YR,5,1.5,70.7317073170732
1820,615,-34.58623,-61.0499,16,34,15.7,1.62,10YR,2,2,10YR,4,1.5,85.9872611464968
1824,616,-34.55245,-61.08788,0,27,10.6,0.21,10YR,4,3,10YR,6,2,100
1827,617,-34.60775,-61.07322,0,23,15.6,1.12,10YR,3,2,10YR,4,1.5,83.3333333333333
1828,617,-34.60775,-61.07322,23,36,12,0.41,10YR,3,3,10YR,5,2.5,83.3333333333333
1832,618,-34.51583,-61.48556,0,29,17.1,1.88,10YR,2,1,10YR,4,1,83.625730994152
1837,619,-34.41667,-60.66861,0,12,NA,NA,10YR,3,2,NA,NA,NA,NA
1838,619,-34.41667,-60.66861,12,22,22.8,2.58,10YR,3,2,NA,NA,NA,82.4561403508772
1839,619,-34.41667,-60.66861,22,37,18,1.08,10YR,5,3,NA,NA,NA,83.3333333333333
1851,620,-34.49505,-60.95541,0,12,NA,NA,10YR,2,2,NA,NA,NA,NA
1852,620,-34.49505,-60.95541,12,25,24,2.3,10YR,2,2,NA,NA,NA,80.8333333333333
1857,621,-34.49646,-60.95378,0,24,15.3,1.48,10YR,3,2,NA,NA,NA,83.0065359477124
1858,621,-34.49646,-60.95378,24,54,17,1.24,10YR,3,2,NA,NA,NA,82.9411764705882
1861,622,-34.40873,-60.9697,0,20,17.4,1.69,10YR,3,2,NA,NA,NA,76.4367816091954
1862,622,-34.40873,-60.9697,20,35,19.7,1.4,10YR,3,1,NA,NA,NA,80.7106598984772
1867,623,-34.38138,-60.94123,0,13,20.1,2.42,10YR,3,1,NA,NA,NA,89.0547263681592
1868,623,-34.38138,-60.94123,13,29,18.5,1.77,10YR,2,2,NA,NA,NA,89.1891891891892
1872,624,-34.47098,-60.78617,0,19,15,0.92,10YR,2,2,10YR,5,2,100
1873,624,-34.47098,-60.78617,19,34,26.5,0.46,10YR,4,2,NA,NA,NA,100
1877,625,-34.37375,-60.77112,0,14,NA,NA,10YR,2,2,NA,NA,NA,NA
1878,625,-34.37375,-60.77112,14,24,19.6,2.2,10YR,2,1,NA,NA,NA,87.7551020408163
1879,625,-34.37375,-60.77112,24,37,17.4,1.06,10YR,3,2,NA,NA,NA,90.8045977011494
1883,626,-34.37641,-60.88312,0,17,19.8,1.97,10YR,3,2,NA,NA,NA,87.8787878787879
1884,626,-34.37641,-60.88312,17,34,19.5,1.5,10YR,2,2,NA,NA,NA,89.2307692307692
1888,627,-34.35778,-60.86111,0,18,19.9,2.05,10YR,3,2,NA,NA,NA,76.8844221105528
1889,627,-34.35778,-60.86111,18,33,12.3,1.02,10YR,2.5,2,NA,NA,NA,87.8048780487805
1893,628,-34.46062,-60.84565,0,15,18.8,2.52,10YR,3,1,10YR,6.5,1,81.9148936170213
1894,628,-34.46062,-60.84565,15,30,15.3,1.18,10YR,3,2,10YR,6,1,94.1176470588235
1898,629,-34.47279,-60.78696,0,16,18.2,2.46,10YR,3,2,10YR,5,1,79.1208791208791
1899,629,-34.47279,-60.78696,16,35,19.1,1.98,10YR,3,1,10YR,4,2,85.3403141361257
1904,631,-34.36944,-60.64686,0,23,22.7,2.21,10YR,3,1,10YR,5,2,85.0220264317181
1905,631,-34.36944,-60.64686,23,31,18.9,1.14,10YR,3,2,10YR,6,2,88.8888888888889
1911,634,-34.36872,-60.69199,0,18,17.2,2,10YR,3,2,10YR,5,1,100
1912,634,-34.36872,-60.69199,18,28,18.8,1.72,10YR,2,2,NA,NA,NA,100
1931,638,-34.45231,-60.71643,0,20,21.6,2.15,10YR,2,2,10YR,4,2,79.1666666666667
1932,638,-34.45231,-60.71643,20,33,16.4,0.84,10YR,3,2,10YR,4,2,83.5365853658537
1936,639,-34.37245,-60.56066,0,8,54.2,8.2,2.5Y,2,0,2.5YR,4,0,100
1937,639,-34.37245,-60.56066,8,28,36,2.6,2.5Y,2,0,2.5Y,4,0,100
1940,640,-34.44457,-60.52309,0,10,23,2.62,10YR,2,2,10YR,5,2,79.1304347826087
1941,640,-34.44457,-60.52309,10,20,23.6,2.35,10YR,2,2,10YR,5,2,73.3050847457627
1942,640,-34.44457,-60.52309,20,35,17.4,0.84,10YR,3,2,NA,NA,NA,87.9310344827586
1947,641,-34.46226,-60.74173,0,15,19.3,2.65,10YR,3,3,10YR,5,2,69.4300518134715
1948,641,-34.46226,-60.74173,15,22,12.2,0.81,10YR,4,2,10YR,6,2,100
1949,641,-34.46226,-60.74173,22,43,31.5,0.86,10YR,3,3,10YR,5,3,100
1951,642,-34.38383,-60.5473,0,15,19.9,2.13,10YR,4,2,10YR,3,2,98.4924623115578
1953,642,-34.38383,-60.5473,15,26,16.9,1.35,10YR,4,2,10YR,3,2,97.0414201183432
1958,643,-34.38375,-60.55255,0,15,19.1,2.13,10YR,4,2,10YR,6,2,83.2460732984293
1959,643,-34.38375,-60.55255,15,24,10.7,0.58,10YR,4,2,10YR,6,2,99.0654205607477
1960,643,-34.38375,-60.55255,24,60,18.8,0.58,10YR,4,3,10YR,5,3,100
1964,644,-34.46398,-60.59599,0,15,19.8,2.64,10YR,2,2,NA,NA,NA,85.3535353535353
1965,644,-34.46398,-60.59599,15,30,16.6,1.94,10YR,2,2,NA,NA,NA,89.7590361445783
1970,645,-34.57068,-60.71484,0,15,18.8,1.9,10YR,2,1,10YR,5,2,80.8510638297872
1971,645,-34.57068,-60.71484,15,28,20.2,1.74,10YR,2,2,NA,NA,NA,81.6831683168317
1975,646,-34.52478,-60.70612,0,18,24.8,2.71,10YR,2,2,10YR,4,2,79.4354838709677
1976,646,-34.52478,-60.70612,18,29,22.8,1.68,10YR,2,1,NA,NA,NA,80.2631578947369
1981,647,-34.51974,-60.65848,0,26,24,2.38,10YR,2,2,NA,NA,NA,82.0833333333333
1986,648,-34.6204,-60.58554,0,12,21.5,2.75,10YR,2,2,10YR,4,2,76.2790697674419
1987,648,-34.6204,-60.58554,12,31,20,1.8,10YR,2,1,NA,NA,NA,83
1992,649,-34.62333,-60.59156,0,20,20.3,2.67,10YR,2,2,NA,NA,NA,82.2660098522167
1993,649,-34.62333,-60.59156,20,27,12.2,0.41,7.5YR,4,2,NA,NA,NA,83.6065573770492
1996,650,-34.57113,-60.61205,0,12,25.6,2.62,10YR,2,2,NA,NA,NA,82.03125
1997,650,-34.57113,-60.61205,12,25,25.5,2.1,10YR,2,1,NA,NA,NA,82.3529411764706
2002,652,-34.5023,-60.57347,0,19,24.5,2.13,10YR,2,2,10YR,4.5,2,79.1836734693878
2003,652,-34.5023,-60.57347,19,31,24.2,2.02,10YR,2,1.5,NA,NA,NA,78.5123966942149
2009,653,-34.53825,-60.55674,0,14,27.3,2.65,10YR,2,1.5,10YR,4,1.5,78.3882783882784
2010,653,-34.53825,-60.55674,14,24,25.9,1.94,10YR,2,1,NA,NA,NA,85.3281853281854
2011,653,-34.53825,-60.55674,24,34,21,1.01,10YR,3,2,NA,NA,NA,89.047619047619
2017,654,-34.51969,-60.62216,0,26,23.8,2.48,10YR,2,2,NA,NA,NA,83.1932773109244
2022,655,-34.61522,-60.71702,0,14,23.2,1.91,10YR,2,2,10YR,4,2,83.1896551724138
2023,655,-34.61522,-60.71702,14,27,20.8,1.32,10YR,2,1.5,NA,NA,NA,84.1346153846154
2028,656,-34.56396,-60.57679,0,21,24,1.89,10YR,2,1,NA,NA,NA,81.25
2029,656,-34.56396,-60.57679,21,31,17.6,0.82,10YR,2,2,NA,NA,NA,84.0909090909091
2037,657,-34.37509,-60.35137,0,14,20.5,1.92,10YR,2,2,10YR,4,2,69.2682926829268
2038,657,-34.37509,-60.35137,14,25,20.8,1.57,10YR,2,1,NA,NA,NA,81.7307692307692
2045,658,-34.38775,-60.32827,0,17,23.4,2.5,10YR,2,1.5,NA,NA,NA,79.9145299145299
2046,658,-34.38775,-60.32827,17,27,24,2.19,10YR,2,1,NA,NA,NA,77.9166666666667
2052,659,-34.38494,-60.47664,0,10,22.9,2.7,10YR,2,2,10YR,5,2,79.0393013100437
2053,659,-34.38494,-60.47664,10,23,23.3,2.49,10YR,2,1.5,NA,NA,NA,74.6781115879828
2054,659,-34.38494,-60.47664,23,35,19.1,0.99,10YR,3,2,NA,NA,NA,75.9162303664921
2059,660,-34.43101,-60.42478,0,15,25.8,2.52,10YR,2,2,10YR,4,2,81.7829457364341
2060,660,-34.43101,-60.42478,15,27,22.9,1.89,10YR,2,2,NA,NA,NA,80.7860262008734
2067,661,-34.48448,-60.37914,0,15,15.5,2,10YR,3,2,NA,NA,NA,70.9677419354839
2068,661,-34.48448,-60.37914,15,21,11.3,0.71,10YR,4,2,NA,NA,NA,86.7256637168142
2069,661,-34.48448,-60.37914,21,52,30.4,0.42,7.5YR,3,2,NA,NA,NA,100
2072,662,-34.47636,-60.36737,0,13,24.7,2.72,10YR,2,1.5,10YR,4,2,84.2105263157895
2073,662,-34.47636,-60.36737,13,23,23.2,2.25,10YR,2,1.5,NA,NA,NA,83.1896551724138
2074,662,-34.47636,-60.36737,23,37,17.1,0.84,10YR,3,2.5,NA,NA,NA,83.0409356725146
2078,663,-34.47874,-60.34125,0,18,26.3,2.97,10YR,2,1,10YR,5,1,80.9885931558936
2079,663,-34.47874,-60.34125,18,28,23,2.33,10YR,2,1,NA,NA,NA,81.7391304347826
2086,664,-34.49876,-60.47627,0,15,29.2,3.06,10YR,2,2,NA,NA,NA,78.4246575342466
2087,664,-34.49876,-60.47627,15,29,27.6,2.06,10YR,2,1,NA,NA,NA,76.8115942028985
2093,665,-34.48532,-60.07645,0,12,28.1,2.89,10YR,2,2,NA,NA,NA,87.9003558718861
2094,665,-34.48532,-60.07645,12,26,27.1,2.38,10YR,2,1,NA,NA,NA,90.0369003690037
2100,666,-34.49791,-60.10828,0,25,32,2.79,10YR,2,1,NA,NA,NA,82.8125
2110,667,-34.44913,-60.05291,0,12,23.7,1.91,10YR,2,1,NA,NA,NA,80.168776371308
2111,667,-34.44913,-60.05291,12,26,21.9,0.84,10YR,2,1,NA,NA,NA,72.1461187214612
2124,668,-34.40102,-60.10154,0,5,18.2,3.27,10YR,4.5,2,NA,NA,NA,100
2125,668,-34.40102,-60.10154,5,14,11.3,1.16,10YR,3,2,NA,NA,NA,100
2126,668,-34.40102,-60.10154,14,26,18.1,0.73,10YR,3,1,NA,NA,NA,100
2129,669,-34.42221,-60.00989,0,16,23.9,2.28,10YR,2,1.5,NA,NA,NA,82.8451882845188
2130,669,-34.42221,-60.00989,16,33,22.6,2.23,10YR,2,1,NA,NA,NA,82.7433628318584
2137,670,-34.42244,-60.00833,0,5,17.7,3.06,10YR,3,2,NA,NA,NA,79.6610169491525
2138,670,-34.42244,-60.00833,5,15,18.9,1.41,10YR,3,2,NA,NA,NA,100
2139,670,-34.42244,-60.00833,15,35,33.6,0.82,7.5YR,3,2,NA,NA,NA,97.0238095238095
2143,671,-34.40082,-60.22173,0,15,26.1,2.68,10YR,2,2,NA,NA,NA,80.8429118773946
2144,671,-34.40082,-60.22173,15,28,24.4,2.07,10YR,2,1.5,NA,NA,NA,80.7377049180328
2152,673,-34.38589,-60.06483,0,10,17.1,1.77,10YR,3,2,NA,NA,NA,100
2153,673,-34.38589,-60.06483,10,19,18.9,1.33,10YR,3,1,NA,NA,NA,100
2154,673,-34.38589,-60.06483,19,37,34.6,0.67,10YR,3,2,NA,NA,NA,100
2158,674,-34.46941,-60.20099,0,19,19.9,1.79,10YR,3,2,NA,NA,NA,66.8341708542714
2159,674,-34.46941,-60.20099,19,43,19.3,0.33,10YR,3,4,NA,NA,NA,81.8652849740933
2172,677,-34.35925,-60.17687,0,8,21.9,1.64,10YR,3,2,NA,NA,NA,79.4520547945205
2173,677,-34.35925,-60.17687,8,20,21.4,1.6,10YR,2,2,NA,NA,NA,84.1121495327103
2174,677,-34.35925,-60.17687,20,30,19.3,0.65,10YR,3,3,NA,NA,NA,83.9378238341969
2180,678,-34.42895,-60.13054,0,1,NA,NA,10YR,3,2,NA,NA,NA,NA
2179,678,-34.42895,-60.13054,1,17,18,1.1,10YR,3,2,NA,NA,NA,93.8888888888889
2181,678,-34.42895,-60.13054,17,32,36.3,0.4,10YR,4,3,NA,NA,NA,100
2183,679,-34.39637,-60.10333,0,20,16,1.07,10YR,3,2,NA,NA,NA,90
2184,679,-34.39637,-60.10333,20,31,18.5,0.78,10YR,3,1,NA,NA,NA,100
2187,680,-34.57632,-60.40234,0,25,22.9,2.57,10YR,2,1,NA,NA,NA,90.8296943231441
2193,681,-34.53955,-60.37013,0,13,25.8,3.03,10YR,2,1,NA,NA,NA,92.2480620155039
2194,681,-34.53955,-60.37013,13,30,24.7,2.58,10YR,2,1,NA,NA,NA,90.2834008097166
2205,682,-34.54011,-60.42801,0,16,30,2.56,10YR,2,1,NA,NA,NA,91.6666666666667
2206,682,-34.54011,-60.42801,16,32,26.4,2.17,10YR,2,1,NA,NA,NA,90.530303030303
2212,683,-34.52091,-60.42366,0,16,24.9,2.34,10YR,2,1,NA,NA,NA,83.9357429718875
2213,683,-34.52091,-60.42366,16,28,23.9,1.56,10YR,2,1,NA,NA,NA,88.7029288702929
2219,684,-34.65905,-60.26713,0,17,24.4,2.94,10YR,3,1,NA,NA,NA,83.1967213114754
2220,684,-34.65905,-60.26713,17,29,22.5,2.12,10YR,2.5,1,NA,NA,NA,80
2226,685,-34.56352,-60.28778,0,22,16.1,1.6,10YR,2,2,NA,NA,NA,80.1242236024845
2227,685,-34.56352,-60.28778,22,30,11.2,0.6,10YR,3,2,NA,NA,NA,94.6428571428572
2232,686,-34.53806,-60.27278,0,14,29,3.23,10YR,2,1.5,NA,NA,NA,93.1034482758621
2233,686,-34.53806,-60.27278,14,30,25.2,2.58,10YR,2,1,NA,NA,NA,95.2380952380952
2239,687,-34.63147,-60.33655,0,16,25.2,3.18,10YR,2,1,NA,NA,NA,93.2539682539683
2240,687,-34.63147,-60.33655,16,26,21.7,1.95,10YR,2,1,NA,NA,NA,93.0875576036866
2247,688,-34.51487,-60.28544,0,12,26.2,2.87,10YR,2,1,NA,NA,NA,100
2248,688,-34.51487,-60.28544,12,25,23.2,2.38,10YR,2,1,NA,NA,NA,95.2586206896552
2254,689,-34.62457,-60.1489,0,12,15.5,1.67,10YR,3,2,10YR,4,2,87.741935483871
2255,689,-34.62457,-60.1489,12,33,29,0.79,10YR,3,4,10YR,5,4,96.551724137931
2260,690,-33.82362,-61.21991,0,13,21.6,1.89,10YR,3,1,NA,NA,NA,83.7962962962963
2261,690,-33.82362,-61.21991,13,20,22,1.51,10YR,2,1,NA,NA,NA,86.8181818181818
2262,690,-33.82362,-61.21991,20,27,19.8,0.96,10YR,3,2,NA,NA,NA,85.3535353535353
2267,691,-33.8198,-61.10637,0,12,24.9,2.42,10YR,3,2,NA,NA,NA,86.3453815261044
2268,691,-33.8198,-61.10637,12,25,21.5,1.52,10YR,3,2,NA,NA,NA,83.7209302325581
2277,692,-33.72222,-61.12639,0,16,22.4,2.28,10YR,3,1.5,NA,NA,NA,87.5
2285,692,-33.72222,-61.12639,16,30,21.4,1.56,10YR,3,1,NA,NA,NA,86.9158878504673
2295,693,-33.77383,-61.06936,0,18,22.2,2.19,10YR,3,1,NA,NA,NA,81.981981981982
2296,693,-33.77383,-61.06936,18,24,20.8,1.75,10YR,3,1,NA,NA,NA,85.0961538461538
2297,693,-33.77383,-61.06936,24,38,18.8,0.73,10YR,3,2,NA,NA,NA,85.6382978723404
2301,694,-33.73427,-61.17182,0,14,26.1,2.76,10YR,3,1,NA,NA,NA,85.0574712643678
2302,694,-33.73427,-61.17182,14,22,24.9,1.88,10YR,2,1,NA,NA,NA,92.3694779116466
2303,694,-33.73427,-61.17182,22,35,19.1,0.85,10YR,3,2.5,NA,NA,NA,95.8115183246073
2307,695,-33.72991,-61.08481,0,23,16.4,1.15,10YR,3,2,10YR,6,1,94.5121951219512
2308,695,-33.72991,-61.08481,23,36,14,0.56,10YR,3,2,10YR,6,4,100
2312,696,-33.73094,-61.06702,0,15,17.7,2.17,10YR,3,2,NA,NA,NA,86.4406779661017
2313,696,-33.73094,-61.06702,15,27,12.8,0.78,10YR,3,3,NA,NA,NA,91.40625
2318,697,-33.68333,-61.0375,0,14,22.9,2.2,10YR,3,1,NA,NA,NA,84.2794759825328
2319,697,-33.68333,-61.0375,14,26,23,1.79,10YR,2,1,NA,NA,NA,82.1739130434782
2325,698,-33.85099,-61.08729,0,12,22.6,2.17,10YR,3,1,10YR,5,2,78.7610619469027
2326,698,-33.85099,-61.08729,12,36,21.6,1.76,10YR,3,1,NA,NA,NA,81.4814814814815
2332,699,-33.87065,-61.12892,0,14,22.2,2.24,10YR,3,2,NA,NA,NA,85.1351351351351
2333,699,-33.87065,-61.12892,14,24,19.5,1.44,10YR,3,1,NA,NA,NA,91.2820512820513
2334,699,-33.87065,-61.12892,24,36,17.5,1.05,10YR,3,1,NA,NA,NA,94.2857142857143
2338,700,-33.98251,-61.20866,0,21,24.2,2.57,10YR,3,1,10YR,5,1,82.2314049586777
