idp,x,y,z
491,-60.585,-34.1144,0
492,-60.66163,-34.09788,0
493,-60.7815,-34.24905,1
494,-60.90022,-34.23132,0
496,-60.96188,-34.2531,2
497,-60.41727,-34.09736,0
498,-60.697,-34.32261,2
499,-60.61943,-34.1807,NA
500,-60.64125,-34.22298,NA
501,-60.58914,-34.31031,1
502,-60.63965,-34.27481,0
503,-60.41667,-34.10278,2
504,-60.36551,-34.02086,2
506,-60.33333,-34.15,2
507,-60.34217,-34.13869,0
508,-60.47695,-34.1425,0
509,-60.0192,-34.04668,1
510,-60.14208,-34.22193,2
511,-60.13758,-34.16591,2
512,-60.12411,-34.09186,0
513,-60.09321,-34.00306,0
514,-60.16369,-34.22427,2
515,-60.1102,-34.32262,2
516,-60.2288,-34.24498,2
517,-60.13773,-34.18691,0
518,-60.44021,-34.17222,2
519,-60.447,-34.29732,2
520,-60.31493,-34.26434,2
521,-60.36926,-34.03762,0
522,-60.38615,-34.24536,0
523,-60.38972,-34.23602,0
524,-60.02438,-34.31009,2
525,-59.91537,-34.03509,NA
526,-59.91943,-34.05902,0
528,-60.11648,-34.0313,0
529,-59.9163,-34.07308,0
530,-59.75893,-34.12193,2
531,-59.82332,-34.09643,0
532,-59.97006,-34.08855,2
533,-59.86313,-34.02333,0
534,-59.61477,-34.13092,2
535,-59.64196,-34.11336,2
536,-59.56864,-34.01059,2
537,-60.23164,-34.09555,1
538,-59.65497,-34.03202,1
539,-59.78598,-34.31818,0
540,-59.92748,-34.25709,0
541,-59.92147,-34.26019,2
542,-60.74559,-34.31806,NA
543,-60.23586,-34.04782,0
545,-59.98663,-34.26772,NA
549,-59.63046,-34.11057,NA
550,-59.61253,-34.2196,2
552,-60.21465,-34.04322,0
553,-59.96796,-34.18296,0
554,-59.97409,-34.18576,2
555,-59.62083,-34.25209,0
556,-59.73152,-34.2183,2
558,-59.57531,-34.29606,0
560,-59.65554,-34.29166,0
561,-59.60724,-34.31377,2
562,-59.61907,-34.27048,0
563,-59.70776,-34.05896,2
565,-59.72796,-34.22031,0
566,-59.71499,-34.06635,NA
568,-59.78472,-34.07833,2
569,-59.42183,-34.11076,2
570,-59.46305,-34.13432,2
571,-59.39363,-34.03199,1
572,-59.47182,-34.01795,2
573,-59.25335,-34.07762,0
574,-59.3077,-34.08314,NA
575,-59.19423,-34.04984,0
576,-59.19287,-34.05253,0
577,-59.02102,-34.15193,2
578,-59.09024,-34.11686,2
579,-59.00461,-34.14277,0
580,-59.18985,-34.01508,0
581,-59.33364,-34.30181,2
582,-59.38889,-34.27833,0
583,-59.42233,-34.22569,0
587,-59.23119,-34.22161,2
589,-59.07797,-34.27061,1
590,-59.11944,-34.24639,2
591,-59.13333,-34.29167,1
592,-61.03333,-34.46666,0
593,-61.0346,-34.35878,2
594,-61.18889,-34.35167,0
595,-61.14837,-34.38816,2
596,-61.03465,-34.35766,2
597,-61.10739,-34.35311,2
598,-61.04382,-34.43265,0
599,-61.02014,-34.42771,1
607,-61.0919,-34.4361,0
608,-61.08647,-34.41486,0
609,-61.08556,-34.41389,0
610,-61.01397,-34.53081,0
611,-61.0132,-34.52392,2
612,-61.0114,-34.56324,0
613,-61.01118,-34.56427,2
614,-61.01256,-34.56413,0
615,-61.0499,-34.58623,2
616,-61.08788,-34.55245,0
617,-61.07322,-34.60775,0
618,-61.48556,-34.51583,2
619,-60.66861,-34.41667,NA
620,-60.95541,-34.49505,NA
621,-60.95378,-34.49646,2
622,-60.9697,-34.40873,2
623,-60.94123,-34.38138,2
624,-60.78617,-34.47098,0
625,-60.77112,-34.37375,NA
626,-60.88312,-34.37641,2
627,-60.86111,-34.35778,0
628,-60.84565,-34.46062,0
629,-60.78696,-34.47279,2
631,-60.64686,-34.36944,0
634,-60.69199,-34.36872,2
638,-60.71643,-34.45231,0
639,-60.56066,-34.37245,1
640,-60.52309,-34.44457,0
641,-60.74173,-34.46226,0
642,-60.5473,-34.38383,0
643,-60.55255,-34.38375,0
644,-60.59599,-34.46398,2
645,-60.71484,-34.57068,2
646,-60.70612,-34.52478,2
647,-60.65848,-34.51974,2
648,-60.58554,-34.6204,2
649,-60.59156,-34.62333,0
650,-60.61205,-34.57113,1
652,-60.57347,-34.5023,2
653,-60.55674,-34.53825,0
654,-60.62216,-34.51969,2
655,-60.71702,-34.61522,2
656,-60.57679,-34.56396,0
657,-60.35137,-34.37509,2
658,-60.32827,-34.38775,2
659,-60.47664,-34.38494,0
660,-60.42478,-34.43101,2
661,-60.37914,-34.48448,0
662,-60.36737,-34.47636,0
663,-60.34125,-34.47874,2
664,-60.47627,-34.49876,1
665,-60.07645,-34.48532,1
666,-60.10828,-34.49791,1
667,-60.05291,-34.44913,0
668,-60.10154,-34.40102,0
669,-60.00989,-34.42221,2
670,-60.00833,-34.42244,0
671,-60.22173,-34.40082,2
673,-60.06483,-34.38589,0
674,-60.20099,-34.46941,0
677,-60.17687,-34.35925,0
678,-60.13054,-34.42895,NA
679,-60.10333,-34.39637,0
680,-60.40234,-34.57632,2
681,-60.37013,-34.53955,2
682,-60.42801,-34.54011,1
683,-60.42366,-34.52091,2
684,-60.26713,-34.65905,2
685,-60.28778,-34.56352,0
686,-60.27278,-34.53806,1
687,-60.33655,-34.63147,2
688,-60.28544,-34.51487,2
689,-60.1489,-34.62457,0
690,-61.21991,-33.82362,0
691,-61.10637,-33.8198,2
692,-61.12639,-33.72222,2
693,-61.06936,-33.77383,0
694,-61.17182,-33.73427,0
695,-61.08481,-33.72991,0
696,-61.06702,-33.73094,0
697,-61.0375,-33.68333,2
698,-61.08729,-33.85099,2
699,-61.12892,-33.87065,0
700,-61.20866,-33.98251,2
701,-60.92127,-33.77171,0
702,-61.11921,-33.91554,2
703,-61.08539,-33.98545,2
704,-61.05844,-33.94427,1
705,-61.09003,-33.86054,2
706,-61.22182,-33.94367,2
707,-60.78352,-33.72559,2
708,-60.83071,-33.69586,0
710,-60.94306,-33.75,2
711,-60.91389,-33.76806,0
712,-59.89636,-34.4252,2
713,-59.89527,-34.42621,0
714,-60.92726,-33.77902,0
715,-60.80833,-33.75417,0
716,-60.79648,-33.81818,1
717,-60.71667,-33.68333,2
718,-60.686,-33.7712,2
719,-59.98473,-34.48812,1
720,-59.91694,-34.45132,1
722,-59.91312,-34.45193,0
723,-59.65104,-34.39306,2
724,-59.76723,-34.41501,1
725,-59.98986,-34.35654,0
726,-59.99305,-34.3583,1
727,-59.93129,-34.33712,2
728,-59.64953,-34.39301,0
729,-59.67793,-34.47029,1
730,-60.58002,-33.76638,2
731,-60.59113,-33.70781,2
732,-60.75758,-33.7697,2
733,-59.69468,-34.40973,0
734,-60.8,-33.85,0
735,-60.76667,-33.9,0
736,-60.76667,-33.95,0
737,-60.98333,-33.93333,2
738,-60.86666,-33.9,2
739,-59.69687,-34.40864,0
740,-59.57566,-34.38044,2
741,-60.96667,-33.85,2
742,-60.95,-33.86667,2
743,-60.95,-33.88333,2
744,-60.49802,-33.98254,0
745,-59.72673,-34.40264,2
746,-59.65822,-34.3494,2
747,-59.92853,-34.61677,0
748,-59.80526,-34.62157,0
749,-59.90082,-34.64389,0
750,-59.85176,-34.52668,2
751,-59.67083,-34.58258,0
752,-59.66331,-34.48799,1
753,-59.53,-34.56111,0
754,-59.61905,-34.6395,2
755,-59.69085,-34.55878,0
756,-60.55417,-33.95139,0
757,-60.55,-33.95,0
758,-60.7,-33.96667,2
759,-60.66667,-33.85,2
760,-60.65,-33.93333,2
761,-59.35503,-34.49081,2
762,-60.5515,-33.97725,0
763,-59.35306,-34.49125,0
764,-59.34502,-34.4437,2
765,-59.30128,-34.36846,2
766,-60.66667,-33.96667,2
767,-60.65,-33.9,2
768,-60.61667,-33.85,NA
769,-59.38334,-34.43333,0
770,-59.48546,-34.34254,1
771,-60.55,-33.93333,0
773,-60.55423,-33.88645,0
774,-59.47624,-34.39934,2
775,-59.47435,-34.3973,0
776,-59.35,-34.41667,0
778,-60.44704,-33.79861,0
779,-60.37049,-33.76107,0
780,-60.40697,-33.68042,2
781,-60.29418,-33.67989,2
782,-59.33679,-34.43606,2
783,-60.31881,-33.75097,2
784,-59.27354,-34.40938,0
785,-60.36888,-33.77996,0
786,-59.27255,-34.40596,2
787,-59.39978,-34.56945,0
788,-59.4905,-34.52119,0
789,-59.35678,-34.58047,0
790,-59.31741,-34.54205,2
791,-59.11652,-34.42209,0
793,-60.14568,-33.80192,0
794,-59.19042,-34.46646,2
795,-60.07487,-33.80365,0
796,-60.058,-33.73124,2
797,-60.05278,-33.68056,2
798,-60.39003,-33.90423,2
799,-60.37407,-33.98363,0
800,-60.38915,-33.95587,0
801,-60.4813,-33.98131,1
802,-60.33611,-33.89583,2
803,-59.40456,-34.61932,0
804,-59.46653,-34.61933,2
805,-60.40906,-33.90724,2
806,-60.22805,-33.93374,2
807,-60.00227,-33.93406,2
808,-60.15314,-33.88674,1
809,-60.17129,-33.83763,2
811,-60.030029999999996,-33.85014,0
812,-60.14805,-33.89067,2
813,-60.00749,-33.79089,0
814,-59.9689,-33.72805,0
815,-59.83753,-33.71684,1
816,-59.95846,-33.67041,0
817,-59.90748,-33.77983,2
818,-59.91199,-33.79689,2
819,-59.91392,-33.81526,0
820,-59.9167,-33.82489,0
821,-59.81644,-33.73847,0
822,-59.72438,-33.79681,0
823,-59.67122,-33.77808,2
824,-59.54588,-33.79707,0
825,-59.96319,-33.9744,2
826,-59.9049,-33.99949,2
827,-59.77889,-34.00743,0
828,-59.72014,-33.86192,2
829,-59.96769,-33.87489,1
830,-59.89134,-33.86813,2
831,-59.87805,-33.91676,2
833,-59.86679,-33.96249,0
834,-59.75165,-33.91287,2
835,-59.53874,-33.90567,0
836,-59.57394,-33.98019,2
837,-59.74059,-33.70777,NA
838,-61.41111,-33.97778,0
839,-61.48858,-33.97703,0
840,-61.443600000000004,-33.95318,NA
841,-61.30852,-33.98257,2
842,-61.32741,-33.86467,0
843,-61.39136,-33.84118,2
844,-61.41835,-33.90406,2
845,-61.41949,-33.98709,1
846,-61.42157,-33.98946,0
847,-61.46667,-33.9,0
848,-61.2625,-33.68333,0
850,-61.36111,-33.77361,2
851,-61.42084,-33.74057,0
852,-61.42072,-33.74045,0
853,-61.4239,-33.74064,0
854,-61.4926,-33.77308,0
855,-61.35834,-33.701,NA
856,-61.34722,-33.67778,2
857,-61.2998,-33.67618,2
858,-61.36374,-33.82349,0
859,-61.27511,-33.79237,0
860,-60.83333,-34.65556,2
862,-60.83431,-34.6551,0
863,-60.94754,-34.64939,0
864,-60.94727,-34.64939,0
865,-60.79527,-34.5366,2
866,-60.7956,-34.53593,2
867,-60.94679,-34.64939,2
868,-60.98568,-34.551,2
869,-60.82024,-34.5905,0
870,-60.20667,-34.60139,0
871,-60.1504,-34.57761,2
872,-60.22233,-34.5179,0
873,-60.03814,-34.52395,0
874,-60.0237,-34.60943,0
875,-60.09044,-34.56209,0
878,-60.0538,-34.57331,2
879,-60.14857,-34.62498,1
880,-60.2327,-34.6238,0
882,-60.54204,-32.20442,1
888,-60.64958,-34.66698,2
889,-60.64694,-34.66512,2
1191,-60.23577,-31.63302,0
1192,-59.8766,-31.3458,1
1193,-59.61058,-31.45014,0
1195,-59.41596,-31.3245,1
1196,-60.05176,-31.67779,0
1198,-59.76261,-31.38985,1
1199,-59.84719,-31.48567,1
1200,-59.78276,-31.38748,0
1201,-59.61881,-31.36642,0
1202,-59.41585,-31.21178,1
1203,-59.38431,-31.24404,1
1204,-59.4606,-31.07567,NA
1205,-59.57007,-32.95486,1
1206,-59.54474,-32.92113,0
1207,-59.54496,-32.8881,0
1208,-59.58382,-32.71649,0
1209,-59.6453,-32.81901,1
1210,-59.68025,-32.85565,1
1211,-59.57632,-32.60098,1
1212,-59.69318,-32.78656,2
1213,-59.76217,-32.76195,0
1214,-59.76936,-32.60668,0
1215,-59.27267,-33.10247,0
1216,-59.4671,-33.13198,0
1217,-59.57499,-33.11232,0
1218,-59.17322,-32.83755,2
1219,-59.75499,-32.64059,0
1220,-59.76297,-32.89963,0
1225,-59.74969,-32.96577,NA
1226,-59.26112,-32.58467,1
1227,-59.3612,-32.14476,1
1228,-59.32315,-32.08946,1
1230,-59.34123,-31.97072,0
1232,-59.2662,-31.93404,0
1234,-59.11172,-32.0935,0
1235,-59.11654,-32.09324,0
1355,-59.9342,-34.44423,2
1358,-59.64917,-34.58389,0
1359,-59.66172,-34.64698,2
1364,-59.03622,-34.41498,1
1365,-59.22091,-34.37107,1
1366,-59.09495,-34.48652,1
1367,-59.39224,-34.60842,0
1368,-59.40015,-34.61085,0
1370,-59.44743,-34.52893,0
1373,-59.25317,-34.58162,2
1378,-59.15093,-34.65072,0
1379,-58.96256,-34.43718,NA
1380,-58.98264,-34.35435,0
1381,-58.94216,-34.65134,0
1382,-58.94853,-34.64611,0
1392,-58.95315,-34.64741,2
1393,-59.65788,-34.48117,0
1394,-59.67194,-34.53411,0
1395,-59.23774,-34.58389,NA
1491,-59.37293,-32.11854,1
1496,-61.28417,-34.4811,0
1524,-62.3136,-33.6333,0
1526,-62.3894,-32.7,0
1531,-62.5725,-33.6189,0
1534,-64.3653,-34.5436,0
1535,-64.2031,-32.1911,0
1536,-62.7703,-32.3631,0
1537,-63.13,-31.3639,0
1539,-62.7369,-32.1867,0
1543,-63.2992,-32.3522,0
1545,-61.9333,-32.5667,0
1569,-63.2456,-33.54,0
1578,-59.16881,-32.01727,1
1579,-59.15229,-32.06813,1
1586,-60.54905,-31.83117,NA
1588,-59.17334,-33.73351,0
1601,-59.44202,-33.27648,0
1608,-60.53207,-31.85174,0
1609,-60.52679,-31.85271,NA
1610,-59.41178,-32.90099,0
1612,-59.66453,-31.20073,1
1613,-59.65961,-31.18358,1
1614,-59.66047,-31.22118,1
1615,-59.86877,-31.12649,0
1620,-59.84108,-31.21043,1
1621,-59.80235,-31.30883,0
1622,-60.04607,-31.66459,0
1623,-59.35593,-32.85452,2
1624,-59.34801,-32.84263,1
1625,-59.40879,-32.87571,1
1627,-59.41373,-32.88052,2
1628,-59.37157,-32.87049,1
1629,-59.62245,-30.94322,1
1632,-59.3056,-31.94,1
1634,-59.36321,-31.71013,1
1636,-59.24939,-31.79595,1
1637,-59.3614,-31.69589,0
1638,-59.58589,-30.98546,2
1645,-59.36087,-31.6688,1
1646,-59.34421,-31.87721,1
1647,-59.32997,-31.874389999999998,1
1648,-59.83346,-32.43487,1
1649,-59.73496,-32.15694,1
1650,-59.7275,-32.26487,0
1652,-59.7868,-32.35734,2
1653,-59.87992,-32.20251,0
1654,-60.54509,-31.8382,NA
1656,-60.54275,-31.83364,1
1657,-59.3567,-32.8338,2
1659,-59.34089,-32.80495,1
1660,-59.73665,-32.87049,0
1662,-59.73595,-32.87798,0
1681,-59.16739,-33.14665,0
1682,-59.22126,-33.12048,0
1713,-59.1716,-31.47197,2
1714,-60.41225,-31.89729,2
1716,-59.02959,-32.54139,2
1717,-59.02315,-32.54277,2
1719,-59.03636,-33.15412,0
1733,-60.49749,-32.16091,0
1736,-59.98694,-32.29695,1
1737,-60.0229,-32.30481,1
1738,-59.94835,-32.11426,0
1739,-59.99374,-32.15188,1
1753,-58.94669,-31.19904,2
1755,-59.14287,-31.07843,0
1760,-60.46293,-32.33738,1
1761,-60.41198,-32.41965,1
1762,-60.46951,-32.36436,0
1763,-60.41642,-32.39436,0
1764,-60.46538,-32.26943,2
1765,-60.38773,-32.26764,0
1766,-60.54139,-32.21686,1
1767,-60.51891,-32.23039,1
1768,-60.4173,-32.12591,0
1769,-60.43414,-32.0927,1
1770,-60.61202,-32.0924,2
1771,-60.56627,-32.01404,0
1773,-60.21853,-32.20086,0
1774,-60.18063,-32.19794,1
1777,-60.18355,-32.15513,1
1778,-60.61987,-31.87646,0
1779,-60.64775,-32.08072,2
1780,-60.62336,-31.91602,0
1781,-60.36132,-32.13941,1
1782,-60.28683,-32.11325,0
1783,-60.25839,-32.3296,2
1802,-63.32,-32.5392,0
1806,-64.3928,-32.8761,2
1810,-59.38566,-33.96992,2
1814,-62.2931,-33.1433,0
1815,-60.25804,-32.32764,2
1816,-60.24032,-32.33657,1
1817,-60.29965,-32.4479,0
1818,-60.18267,-32.43372,1
1819,-60.18083,-32.43815,0
1820,-60.1691,-32.43611,1
1821,-60.17412,-32.5984,0
1822,-59.43874,-33.89284,0
1825,-62.9689,-32.5125,0
1826,-60.17222,-32.59857,0
1827,-60.13144,-32.59034,1
1828,-59.90948,-32.68445,1
1829,-59.87394,-32.77203,0
1830,-59.90412,-32.60762,0
1831,-60.03495,-32.58418,0
1832,-59.88689,-32.63254,NA
1841,-60.01941,-32.36644,1
1842,-60.02193,-31.59546,1
1843,-59.98311,-31.61224,1
1844,-59.96363,-31.56247,0
1846,-60.02103,-31.62473,1
1847,-60.03576,-31.6167,1
1849,-60.35903,-31.68066,NA
1850,-59.99147,-31.58592,NA
1851,-60.03207,-31.66611,NA
1853,-59.95452,-31.62599,1
1854,-59.88669,-32.69584,1
1855,-60.05079,-31.51294,1
1856,-59.98311,-31.61224,0
1857,-60.05089,-31.43343,0
1858,-60.0772,-31.44038,1
1859,-60.11412,-31.45414,1
1860,-60.20687,-31.5189,2
1861,-60.18414,-31.81007,0
1862,-59.90467,-31.85234,0
1863,-60.27429,-31.79855,1
1873,-58.93445,-31.68729,1
1875,-58.94437,-32.02335,1
1876,-58.91061,-31.69381,1
1882,-59.10886,-33.07815,1
1897,-59.15417,-33.81944,0
1900,-64.0339,-30.9419,2
1901,-59.00823,-33.45496,0
1902,-59.01287,-33.45757,2
1903,-59.12877,-33.48222,1
1904,-59.11199,-33.47111,0
1905,-59.41053,-33.39201,1
1906,-59.46175,-33.42309,0
1907,-59.37075,-33.39564,0
1908,-62.6522,-33.5225,0
1909,-59.46937,-33.42585,0
1910,-59.13784,-33.70233,0
1911,-59.13753,-33.69895,0
1912,-59.17027,-33.74068,0
1913,-59.2292,-33.65802,0
1914,-59.06197,-33.66025,0
1915,-59.08266,-33.72765,0
1916,-59.22031,-33.56284,1
1917,-59.21341,-33.56958,2
1918,-59.05426,-33.53292,0
1921,-59.26285,-33.23734,0
1922,-59.33874,-33.51866,0
1924,-59.27252,-33.22373,0
1927,-59.43839,-33.22507,0
1929,-59.42438,-33.23519,2
1931,-59.31017,-33.29236,0
1933,-59.30929,-33.29557,0
1934,-59.30336,-33.2924,0
1937,-59.31453,-33.55286,0
1938,-59.17459,-33.78775,0
1940,-59.40093,-33.27455,0
1942,-59.12557,-33.36884,0
1944,-59.13559,-33.36666,0
1968,-63.4167,-31.3214,0
2011,-62.12917,-33.46694,0
2028,-62.8556,-33.6303,2
2049,-62.7386,-32.09,0
2065,-63.7117,-32.9053,0
2067,-62.5514,-33.2922,0
2069,-62.4,-33.4833,0
2075,-63.131100000000004,-32.8022,0
2082,-62.7742,-32.3744,0
2118,-62.7206,-32.3414,0
2124,-61.8667,-32.6167,0
2160,-62.1208,-32.4606,0
2212,-62.3114,-33.3058,0
2316,-63.8133,-31.9742,0
2338,-63.8336,-31.6472,2
2467,-59.54572,-34.20472,NA
2499,-64.5167,-34.3583,0
2500,-62.125,-31.6081,0
2503,-63.3258,-31.0714,0
2504,-62.9433,-33.2428,0
2505,-62.7664,-31.6775,0
2512,-62.9867,-33.6522,0
2513,-62.3831,-32.5556,0
2514,-62.1886,-33.5336,0
2515,-62.4092,-32.5692,0
2522,-62.4461,-32.2314,0
2524,-64.4508,-32.5553,0
2525,-63.1578,-33.3542,NA
2529,-62.575,-31.9108,0
2530,-62.5697,-32.3456,0
2531,-64.4319,-30.9878,2
2532,-64,-32.0639,0
2533,-63.5339,-32.085,0
2534,-64.4092,-34.6319,0
2535,-64.4678,-34.2261,0
2537,-63.43,-34.2222,NA
2538,-63.4178,-31.1481,0
2539,-62.8761,-32.2025,2
2542,-64.1986,-32.4992,2
2543,-62.5614,-33.9544,0
2544,-63.5214,-31.2928,0
2545,-62.2069,-31.5786,0
2552,-63.7814,-32.4031,0
2554,-63.0428,-34.0128,0
2555,-62.9856,-32.0239,0
2557,-63.2719,-31.0394,0
2561,-61.12639,-33.72222,2
2562,-61.85,-34.1725,0
2565,-63.9228,-31.605,0
2567,-63.4567,-34.2189,0
2568,-64.5961,-32.4303,0
2569,-63.2553,-34.2592,0
2570,-62.72139,-31.75722,0
2573,-60.74833,-31.47361,NA
2577,-62.6014,-32.1108,0
2579,-62.7047,-33.0514,0
2581,-63.435,-31.0253,0
2582,-63.3669,-32.9189,0
2586,-63.1381,-32.3956,2
2587,-63.8575,-32.8286,0
2588,-63.7194,-32.7331,0
2589,-62.875,-32.7525,0
2595,-64.1739,-32.1875,2
2606,-64.0964,-32.2039,0
2607,-62.3972,-33.5333,0
2608,-63.6039,-32.3508,2
2610,-63.5842,-31.8161,0
2611,-62.19833,-34.24167,2
2613,-63.5125,-32.1447,0
2614,-62.5536,-32.8628,1
2615,-63.5119,-31.1639,0
2668,-61.4375,-33.19556,0
2669,-62.4736,-33.3169,0
2671,-64.6667,-34.3917,0
2672,-62.7183,-33.27,0
2676,-63.4208,-34.1914,0
2677,-63.4528,-31.0014,0
2683,-62.74004,-34.52283,0
2695,-63.4669,-33.6122,2
2697,-62.955,-33.8547,0
2703,-64.6947,-33.0228,2
2704,-61.9,-32.5667,0
2727,-62.6919,-31.5728,0
2728,-62.8083,-32.4447,0
2729,-62.8047,-32.1325,0
2730,-62.9222,-32.9739,0
2731,-62.8661,-32.3069,0
2732,-62.16,-32.3536,0
2733,-64.6036,-32.8156,0
2734,-62.9292,-32.7667,0
2735,-62.1006,-33.1764,2
2736,-62.9381,-32.4403,0
2834,-63.4397,-31.2272,0
2835,-63.2236,-34.0172,2
2836,-62.9697,-32.1389,0
2837,-62.2203,-33.5406,0
2839,-63.8069,-31.6164,0
2840,-62.4892,-32.7411,0
2841,-64.5756,-33.0203,0
2850,-62.8919,-32.3633,0
2853,-63.0083,-31.0319,0
2855,-62.8097,-32.8528,0
2858,-64.3728,-34.6153,0
2859,-63.5833,-32.6586,0
2860,-63.2392,-34.1975,NA
2861,-62.8531,-32.3808,0
2870,-62.4683,-32.4236,2
2871,-63.5419,-31.2433,0
2872,-64.0236,-32.4119,0
2874,-63.7228,-32.3547,0
2883,-63.2208,-34.4117,0
2884,-64.2053,-32.4903,0
2887,-62.9,-32.7667,2
2888,-63.9231,-32.4911,0
2889,-62.5072,-31.7436,0
2890,-62.9342,-33.3036,0
2894,-62.6758,-33.7106,0
2895,-63.4658,-33.3625,2
2896,-62.7328,-33.5517,0
2897,-64.3922,-32.0642,NA
2898,-63.2392,-33.4603,0
2903,-63.0628,-33.3722,0
2905,-62.6839,-32.2964,0
2906,-63.1528,-31.5806,0
2910,-63.0867,-34.0625,0
2913,-63.5078,-31.1639,0
2917,-62.1525,-32.4114,2
2931,-62.1186,-31.59,0
2933,-63.3606,-33.6425,0
2934,-63.7272,-31.9606,0
2941,-60.81667,-31.45,0
2942,-62.0936,-32.5764,2
2943,-62.0531,-32.5572,0
2944,-63.6464,-31.7072,0
